"Student Counts by District and Gender"
"All Districts"
"2016-17"

"",,"Gender",,
"District","District Code","Female","Male","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""",560,506,1066
"Amistad Academy District","=""2790013""",542,515,1057
"Andover School District","=""0010011""",98,127,225
"Ansonia School District","=""0020011""",1114,1250,2364
"Area Cooperative Educational Services","=""2440014""",825,1122,1947
"Ashford School District","=""0030011""",198,209,407
"Avon School District","=""0040011""",1641,1647,3288
"Barkhamsted School District","=""0050011""",129,126,255
"Berlin School District","=""0070011""",1327,1478,2805
"Bethany School District","=""0080011""",180,176,356
"Bethel School District","=""0090011""",1399,1597,2996
"Bloomfield School District","=""0110011""",1055,1102,2157
"Bolton School District","=""0120011""",427,393,820
"Booker T. Washington Academy District","=""2950013""",103,138,241
"Bozrah School District","=""0130011""",97,111,208
"Branford School District","=""0140011""",1446,1537,2983
"Brass City Charter School District","=""2900013""",124,95,219
"Bridgeport Achievement First District","=""2850013""",543,501,1044
"Bridgeport School District","=""0150011""",10082,11140,21222
"Bristol School District","=""0170011""",3892,4181,8073
"Brookfield School District","=""0180011""",1312,1361,2673
"Brooklyn School District","=""0190011""",418,445,863
"Canaan School District","=""0210011""",36,37,73
"Canterbury School District","=""0220011""",204,267,471
"Canton School District","=""0230011""",831,792,1623
"Capital Preparatory Harbor School Inc. District","=""2970013""",119,135,254
"Capitol Region Education Council","=""2410014""",4171,4419,8590
"Chaplin School District","=""0240011""",74,84,158
"Cheshire School District","=""0250011""",2111,2247,4358
"Chester School District","=""0260011""",103,103,206
"Clinton School District","=""0270011""",875,915,1790
"Colchester School District","=""0280011""",1241,1247,2488
"Colebrook School District","=""0290011""",31,47,78
"Columbia School District","=""0300011""",207,227,434
"Common Ground High School District","=""2680013""",86,114,200
"Connecticut Technical High School System","=""9000016""",4331,6225,10556
"Cooperative Educational Services","=""2430014""",346,496,842
"Cornwall School District","=""0310011""",28,44,72
"Coventry School District","=""0320011""",806,819,1625
"Cromwell School District","=""0330011""",970,1034,2004
"Danbury School District","=""0340011""",5509,5862,11371
"Darien School District","=""0350011""",2342,2486,4828
"Deep River School District","=""0360011""",132,153,285
"Department of Mental Health and Addiction Services","=""3370015""","*",0,"*"
"Derby School District","=""0370011""",637,750,1387
"East Granby School District","=""0400011""",430,436,866
"East Haddam School District","=""0410011""",503,529,1032
"East Hampton School District","=""0420011""",920,956,1876
"East Hartford School District","=""0430011""",3239,3495,6734
"East Haven School District","=""0440011""",1442,1554,2996
"East Lyme School District","=""0450011""",1333,1449,2782
"East Windsor School District","=""0470011""",490,559,1049
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",217,196,413
"Eastford School District","=""0390011""",62,81,143
"Easton School District","=""0460011""",438,444,882
"EdAdvance","=""2420014""",119,100,219
"Ellington School District","=""0480011""",1284,1363,2647
"Elm City College Preparatory School District","=""2890013""",383,343,726
"Elm City Montessori School District","=""2910013""",67,73,140
"Enfield School District","=""0490011""",2558,2691,5249
"Essex School District","=""0500011""",178,193,371
"Explorations District","=""2720013""",59,33,92
"Fairfield School District","=""0510011""",4888,5139,10027
"Farmington School District","=""0520011""",1968,2110,4078
"Franklin School District","=""0530011""",83,80,163
