"Student Counts by District and Gender"
"All Districts"
"2013-14"

"",,"Gender",,
"District","District Code","Female","Male","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""",415,455,870
"Amistad Academy District","=""2790013""",470,467,937
"Andover School District","=""0010011""",140,159,299
"Ansonia School District","=""0020011""",1094,1244,2338
"Area Cooperative Educational Services","=""2440014""",796,1137,1933
"Ashford School District","=""0030011""",205,219,424
"Avon School District","=""0040011""",1704,1683,3387
"Barkhamsted School District","=""0050011""",135,172,307
"Berlin School District","=""0070011""",1369,1594,2963
"Bethany School District","=""0080011""",199,237,436
"Bethel School District","=""0090011""",1437,1563,3000
"Bloomfield School District","=""0110011""",1030,1066,2096
"Bolton School District","=""0120011""",430,439,869
"Bozrah School District","=""0130011""",119,125,244
"Branford School District","=""0140011""",1564,1681,3245
"Brass City Charter School District","=""2900013""",64,51,115
"Bridgeport Achievement First District","=""2850013""",420,415,835
"Bridgeport School District","=""0150011""",9987,10942,20929
"Bristol School District","=""0170011""",3971,4297,8268
"Brookfield School District","=""0180011""",1386,1385,2771
"Brooklyn School District","=""0190011""",438,488,926
"Canaan School District","=""0210011""",41,"*","*"
"Canterbury School District","=""0220011""",205,259,464
"Canton School District","=""0230011""",838,862,1700
"Capitol Region Education Council","=""2410014""",3535,3642,7177
"Chaplin School District","=""0240011""",91,92,183
"Cheshire School District","=""0250011""",2259,2361,4620
"Chester School District","=""0260011""",127,101,228
"Clinton School District","=""0270011""",958,1003,1961
"Colchester School District","=""0280011""",1365,1379,2744
"Colebrook School District","=""0290011""",45,54,99
"Columbia School District","=""0300011""",237,237,474
"Common Ground High School District","=""2680013""",82,98,180
"Connecticut Technical High School System","=""9000016""",4186,6512,10698
"Cooperative Educational Services","=""2430014""",329,493,822
"Cornwall School District","=""0310011""",42,63,105
"Coventry School District","=""0320011""",845,848,1693
"Cromwell School District","=""0330011""",946,1022,1968
"Danbury School District","=""0340011""",5259,5534,10793
"Darien School District","=""0350011""",2380,2549,4929
"Deep River School District","=""0360011""",167,166,333
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*"
"Derby School District","=""0370011""",759,763,1522
"East Granby School District","=""0400011""",413,461,874
"East Haddam School District","=""0410011""",592,607,1199
"East Hampton School District","=""0420011""",931,946,1877
"East Hartford School District","=""0430011""",3450,3708,7158
"East Haven School District","=""0440011""",1509,1618,3127
"East Lyme School District","=""0450011""",1425,1443,2868
"East Windsor School District","=""0470011""",596,620,1216
