"Student Counts by District and Gender"
"All Districts"
"2019-20"

"",,"Gender",,
"District","District Code","Female","Male","Total"
"Achievement First Bridgeport Academy District","=""2850013""",586,524,1110
"Achievement First Hartford Academy District","=""2880013""",616,553,1169
"Amistad Academy District","=""2790013""",605,498,1103
"Andover School District","=""0010011""",96,99,195
"Ansonia School District","=""0020011""",1069,1215,2284
"Area Cooperative Educational Services","=""2440014""",773,1063,1836
"Ashford School District","=""0030011""",186,204,390
"Avon School District","=""0040011""",1594,1591,3185
"Barkhamsted School District","=""0050011""",113,106,219
"Berlin School District","=""0070011""",1336,1419,2755
"Bethany School District","=""0080011""",195,175,370
"Bethel School District","=""0090011""",1496,1652,3148
"Bloomfield School District","=""0110011""",1109,1097,2206
"Bolton School District","=""0120011""","*",392,779
"Booker T. Washington Academy District","=""2950013""",208,212,420
"Bozrah School District","=""0130011""",87,103,190
"Branford School District","=""0140011""","*",1423,2802
"Brass City Charter School District","=""2900013""",174,152,326
"Bridgeport School District","=""0150011""",9689,10622,20311
"Bristol School District","=""0170011""","*",4078,7976
"Brookfield School District","=""0180011""",1292,1331,2623
"Brooklyn School District","=""0190011""",454,464,918
"Canaan School District","=""0210011""",29,38,67
"Canterbury School District","=""0220011""",232,243,475
"Canton School District","=""0230011""","*",809,1574
"Capital Preparatory Harbor School District","=""2970013""",373,387,760
"Capitol Region Education Council","=""2410014""",4377,4280,8657
"Chaplin School District","=""0240011""",68,72,140
"Cheshire School District","=""0250011""",2042,2157,4199
"Chester School District","=""0260011""",86,100,186
"Clinton School District","=""0270011""",810,872,1682
"Colchester School District","=""0280011""","*",1189,2322
"Colebrook School District","=""0290011""",24,50,74
"Columbia School District","=""0300011""",186,224,410
"Common Ground High School District","=""2680013""","*",131,223
"Connecticut Technical Education and Career System","=""9000016""","*",6621,10995
"Cooperative Educational Services","=""2430014""",336,523,859
"Cornwall School District","=""0310011""",46,41,87
"Coventry School District","=""0320011""","*",845,1678
"Cromwell School District","=""0330011""",954,1028,1982
"Danbury School District","=""0340011""","*",6191,11928
"Darien School District","=""0350011""",2306,2459,4765
"Deep River School District","=""0360011""",116,119,235
"Department of Mental Health and Addiction Services","=""3370015""","*","*",7
"Derby School District","=""0370011""",614,681,1295
"East Granby School District","=""0400011""",409,427,836
"East Haddam School District","=""0410011""",465,532,997
"East Hampton School District","=""0420011""",913,929,1842
"East Hartford School District","=""0430011""",3210,3583,6793
"East Haven School District","=""0440011""","*",1483,2894
"East Lyme School District","=""0450011""",1313,1380,2693
"East Windsor School District","=""0470011""",526,553,1079
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",246,"*",474
"Eastford School District","=""0390011""",72,79,151
"Easton School District","=""0460011""",431,454,885
"EdAdvance","=""2420014""",113,152,265
"Ellington School District","=""0480011""",1298,1383,2681
"Elm City College Preparatory School District","=""2890013""",394,373,767
"Elm City Montessori School District","=""2910013""",115,114,229
"Enfield School District","=""0490011""",2412,2633,5045
"Essex School District","=""0500011""",158,173,331
"Explorations District","=""2720013""",45,48,93
"Fairfield School District","=""0510011""",4697,4974,9671
"Farmington School District","=""0520011""",2053,2106,4159
"Franklin School District","=""0530011""","*",86,160
"Glastonbury School District","=""0540011""","*",2948,5835
"Granby School District","=""0560011""",892,907,1799
"Great Oaks Charter School District","=""2940013""",293,262,555
"Greenwich School District","=""0570011""","*",4709,9048
"Griswold School District","=""0580011""",886,886,1772
"Groton School District","=""0590011""",2058,2214,4272
"Guilford School District","=""0600011""",1569,1690,3259
"Hamden School District","=""0620011""",2641,2854,5495
"Hampton School District","=""0630011""",38,52,90
"Hartford School District","=""0640011""","*",9843,18880
"Hartland School District","=""0650011""",65,92,157
"Hebron School District","=""0670011""",324,334,658
"Highville Charter School District","=""2860013""",260,200,460
"Integrated Day Charter School District","=""2640013""",179,173,352
"Interdistrict School for Arts and Comm District","=""2650013""",136,143,279
"Jumoke Academy District","=""2610013""",367,"*",706
"Kent School District","=""0680011""",102,103,205
"Killingly School District","=""0690011""",1270,"*",2490
"Learn","=""2450014""",1277,1241,2518
"Lebanon School District","=""0710011""",472,519,991
"Ledyard School District","=""0720011""","*",1249,2426
"Lisbon School District","=""0730011""",214,207,421
"Litchfield School District","=""0740011""",437,452,889
"Madison School District","=""0760011""","*",1396,2626
"Manchester School District","=""0770011""",3001,3308,6309
"Mansfield School District","=""0780011""",578,555,1133
"Marlborough School District","=""0790011""",222,226,448
"Meriden School District","=""0800011""","*",4245,8163
"Middletown School District","=""0830011""",2284,2336,4620
"Milford School District","=""0840011""",2722,2899,5621
"Monroe School District","=""0850011""",1554,1582,3136
"Montville School District","=""0860011""","*",1066,2064
"Naugatuck School District","=""0880011""",2068,2304,4372
"New Beginnings Inc Family Academy District","=""2800013""",259,246,505
"New Britain School District","=""0890011""",4800,5293,10093
"New Canaan School District","=""0900011""",2045,2176,4221
"New Fairfield School District","=""0910011""",1091,1095,2186
"New Hartford School District","=""0920011""",213,224,437
"New Haven School District","=""0930011""",10202,10473,20675
"New London School District","=""0950011""",1656,1784,3440
"New Milford School District","=""0960011""","*",2080,3948
"Newington School District","=""0940011""",1983,2032,4015
"Newtown School District","=""0970011""","*",2141,4188
"Norfolk School District","=""0980011""",35,39,74
"North Branford School District","=""0990011""",833,867,1700
"North Canaan School District","=""1000011""",124,129,253
"North Haven School District","=""1010011""",1564,1617,3181
"North Stonington School District","=""1020011""",350,397,747
"Norwalk School District","=""1030011""","*",6079,11716
"Norwich Free Academy District","=""9010022""",1174,1092,2266
"Norwich School District","=""1040011""","*",1862,3588
"Odyssey Community School District","=""2630013""",163,166,329
"Old Saybrook School District","=""1060011""",580,615,1195
"Orange School District","=""1070011""",589,647,1236
"Oxford School District","=""1080011""",857,865,1722
"Park City Prep Charter School District","=""2830013""",178,183,361
"Plainfield School District","=""1090011""",1082,1098,2180
"Plainville School District","=""1100011""",1117,1239,2356
"Plymouth School District","=""1110011""",652,716,1368
"Pomfret School District","=""1120011""",174,211,385
"Portland School District","=""1130011""","*",679,1310
"Preston School District","=""1140011""",209,229,438
"Putnam School District","=""1160011""",564,611,1175
"Redding School District","=""1170011""",409,427,836
"Regional School District 01","=""2010012""",176,186,362
"Regional School District 04","=""2040012""",429,429,858
"Regional School District 05","=""2050012""",1075,1110,2185
"Regional School District 06","=""2060012""",488,"*",917
"Regional School District 07","=""2070012""",531,505,1036
"Regional School District 08","=""2080012""",685,727,1412
"Regional School District 09","=""2090012""",427,440,867
"Regional School District 10","=""2100012""",1067,1175,2242
"Regional School District 11","=""2110012""",90,117,207
"Regional School District 12","=""2120012""",372,334,706
"Regional School District 13","=""2130012""",765,"*",1517
"Regional School District 14","=""2140012""",840,752,1592
"Regional School District 15","=""2150012""",1778,1899,3677
"Regional School District 16","=""2160012""",1020,1064,2084
"Regional School District 17","=""2170012""",947,1011,1958
"Regional School District 18","=""2180012""",628,662,1290
"Regional School District 19","=""2190012""",576,526,1102
"Ridgefield School District","=""1180011""","*",2416,4707
"Rocky Hill School District","=""1190011""",1354,1347,2701
"Salem School District","=""1210011""","*",211,422
"Salisbury School District","=""1220011""",143,141,284
"Scotland School District","=""1230011""",58,48,106
"Seymour School District","=""1240011""",1079,1100,2179
"Sharon School District","=""1250011""",47,56,103
"Shelton School District","=""1260011""","*",2416,4674
"Sherman School District","=""1270011""",138,137,275
"Side By Side Charter School District","=""2700013""",120,116,236
"Simsbury School District","=""1280011""",1997,2094,4091
"Somers School District","=""1290011""",662,691,1353
"South Windsor School District","=""1320011""","*",2320,4554
"Southington School District","=""1310011""",3113,3223,6336
"Sprague School District","=""1330011""",123,157,280
"Stafford School District","=""1340011""","*",751,1459
"Stamford Academy District","=""2820013""",62,85,147
"Stamford Charter School for Excellence District","=""2960013""",213,182,395
"Stamford School District","=""1350011""",7990,8610,16600
"Sterling School District","=""1360011""",161,204,365
"Stonington School District","=""1370011""",946,1035,1981
"Stratford School District","=""1380011""",3341,3521,6862
"Suffield School District","=""1390011""",1076,1051,2127
"The Bridge Academy District","=""2690013""",137,144,281
"The Gilbert School District","=""9020022""","*",253,467
"The Woodstock Academy District","=""9030022""",555,552,1107
"Thomaston School District","=""1400011""",437,420,857
"Thompson School District","=""1410011""",452,543,995
"Tolland School District","=""1420011""",1127,1227,2354
"Torrington School District","=""1430011""","*",2033,3857
"Trumbull School District","=""1440011""",3333,3475,6808
"Unified School District #1","=""3360015""",9,149,158
"Unified School District #2","=""3470015""",42,53,95
"Union School District","=""1450011""",26,20,46
"Vernon School District","=""1460011""",1541,1610,3151
"Voluntown School District","=""1470011""",126,138,264
"Wallingford School District","=""1480011""",2810,2883,5693
"Waterbury School District","=""1510011""",9104,9703,18807
"Waterford School District","=""1520011""","*",1237,2469
"Watertown School District","=""1530011""",1251,1473,2724
"West Hartford School District","=""1550011""",4647,4855,9502
"West Haven School District","=""1560011""",2759,3106,5865
"Westbrook School District","=""1540011""",350,319,669
"Weston School District","=""1570011""",1084,1206,2290
"Westport School District","=""1580011""",2612,2732,5344
"Wethersfield School District","=""1590011""",1806,"*",3610
"Willington School District","=""1600011""",202,237,439
"Wilton School District","=""1610011""",1945,1925,3870
"Winchester School District","=""1620011""","*",299,575
"Windham School District","=""1630011""",1581,1764,3345
"Windsor Locks School District","=""1650011""",794,805,1599
"Windsor School District","=""1640011""",1627,1718,3345
"Wolcott School District","=""1660011""",1072,1124,2196
"Woodbridge School District","=""1670011""",378,463,841
"Woodstock School District","=""1690011""",439,385,824
"Total","=""""",255494,272271,527829

