"Student Counts by District and Gender"
"All Districts"
"2011-12"

"",,"Gender",,
"District","District Code","Female","Male","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""",350,412,762
"Amistad Academy District","=""2790013""",425,432,857
"Andover School District","=""0010011""",131,183,314
"Ansonia School District","=""0020011""",1215,1311,2526
"Area Cooperative Educational Services","=""2440014""",797,1158,1955
"Ashford School District","=""0030011""",239,242,481
"Avon School District","=""0040011""",1731,1787,3518
"Barkhamsted School District","=""0050011""",157,200,357
"Berlin School District","=""0070011""",1434,1593,3027
"Bethany School District","=""0080011""",241,251,492
"Bethel School District","=""0090011""",1435,1547,2982
"Bloomfield School District","=""0110011""",1047,1117,2164
"Bolton School District","=""0120011""",454,443,897
"Bozrah School District","=""0130011""",122,114,236
"Branford School District","=""0140011""",1654,1687,3341
"Bridgeport Achievement First District","=""2850013""",256,287,543
"Bridgeport School District","=""0150011""",9878,10489,20367
"Bristol School District","=""0170011""",4083,4440,8523
"Brookfield School District","=""0180011""",1430,1415,2845
"Brooklyn School District","=""0190011""",445,494,939
"Canaan School District","=""0210011""",47,39,86
"Canterbury School District","=""0220011""",224,296,520
"Canton School District","=""0230011""",877,874,1751
"Capitol Region Education Council","=""2410014""",2719,2839,5558
"Chaplin School District","=""0240011""",90,92,182
"Cheshire School District","=""0250011""",2369,2440,4809
"Chester School District","=""0260011""",141,119,260
"Clinton School District","=""0270011""",974,1038,2012
"Colchester School District","=""0280011""",1503,1528,3031
"Colebrook School District","=""0290011""",51,48,99
"Columbia School District","=""0300011""",275,255,530
"Common Ground High School District","=""2680013""",72,93,165
"Connecticut Technical High School System","=""9000016""",4032,6624,10656
"Cooperative Educational Services","=""2430014""",321,492,813
"Cornwall School District","=""0310011""",50,56,106
"Coventry School District","=""0320011""",900,896,1796
"Cromwell School District","=""0330011""",950,1050,2000
"Danbury School District","=""0340011""",5282,5540,10822
"Darien School District","=""0350011""",2337,2496,4833
"Deep River School District","=""0360011""",183,176,359
"Department of Mental Health and Addiction Services","=""3370015""","*","*",6
"Derby School District","=""0370011""",692,761,1453
"East Granby School District","=""0400011""",401,446,847
"East Haddam School District","=""0410011""",643,644,1287
"East Hampton School District","=""0420011""",968,984,1952
"East Hartford School District","=""0430011""",3432,3744,7176
"East Haven School District","=""0440011""",1598,1699,3297
"East Lyme School District","=""0450011""",1490,1495,2985
"East Windsor School District","=""0470011""",633,665,1298
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",148,147,295
"Eastford School District","=""0390011""",79,97,176
"Easton School District","=""0460011""",480,579,1059
"Education Connection","=""2420014""",101,120,221
"Ellington School District","=""0480011""",1365,1390,2755
"Elm City College Preparatory School District","=""2890013""",315,285,600
"Enfield School District","=""0490011""",2739,2934,5673
"Essex School District","=""0500011""",271,288,559
