"Student Counts by District and Gender"
"All Districts"
"2014-15"

"",,"Gender",,
"District","District Code","Female","Male","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""",466,488,954
"Amistad Academy District","=""2790013""",499,485,984
"Andover School District","=""0010011""",129,146,275
"Ansonia School District","=""0020011""",1139,1276,2415
"Area Cooperative Educational Services","=""2440014""",808,1131,1939
"Ashford School District","=""0030011""",204,213,417
"Avon School District","=""0040011""",1660,1672,3332
"Barkhamsted School District","=""0050011""",145,172,317
"Berlin School District","=""0070011""",1347,1562,2909
"Bethany School District","=""0080011""",187,220,407
"Bethel School District","=""0090011""",1399,1540,2939
"Bloomfield School District","=""0110011""",1028,1087,2115
"Bolton School District","=""0120011""",417,430,847
"Booker T. Washington Academy District","=""2950013""",38,53,91
"Bozrah School District","=""0130011""",104,107,211
"Branford School District","=""0140011""",1478,1630,3108
"Brass City Charter School District","=""2900013""",91,59,150
"Bridgeport Achievement First District","=""2850013""",484,493,977
"Bridgeport School District","=""0150011""",10046,11198,21244
"Bristol School District","=""0170011""",3974,4259,8233
"Brookfield School District","=""0180011""",1354,1365,2719
"Brooklyn School District","=""0190011""",449,471,920
"Canaan School District","=""0210011""",41,37,78
"Canterbury School District","=""0220011""",220,257,477
"Canton School District","=""0230011""",811,818,1629
"Capitol Region Education Council","=""2410014""",3971,4195,8166
"Chaplin School District","=""0240011""",78,100,178
"Cheshire School District","=""0250011""",2220,2331,4551
"Chester School District","=""0260011""",129,90,219
"Clinton School District","=""0270011""",922,966,1888
"Colchester School District","=""0280011""",1314,1340,2654
"Colebrook School District","=""0290011""",39,52,91
"Columbia School District","=""0300011""",228,230,458
"Common Ground High School District","=""2680013""",80,100,180
"Connecticut Technical High School System","=""9000016""",4273,6517,10790
"Cooperative Educational Services","=""2430014""",353,496,849
"Cornwall School District","=""0310011""",35,56,91
"Coventry School District","=""0320011""",823,828,1651
"Cromwell School District","=""0330011""",946,1038,1984
"Danbury School District","=""0340011""",5359,5586,10945
"Darien School District","=""0350011""",2388,2544,4932
"Deep River School District","=""0360011""",155,161,316
"Department of Mental Health and Addiction Services","=""3370015""","*","*",7
"Derby School District","=""0370011""",715,752,1467
"East Granby School District","=""0400011""",435,451,886
"East Haddam School District","=""0410011""",560,583,1143
"East Hampton School District","=""0420011""",922,913,1835
"East Hartford School District","=""0430011""",3420,3640,7060
"East Haven School District","=""0440011""",1473,1538,3011
"East Lyme School District","=""0450011""",1386,1453,2839
"East Windsor School District","=""0470011""",540,598,1138
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",228,183,411
"Eastford School District","=""0390011""",66,73,139
"Easton School District","=""0460011""",441,495,936
"Education Connection","=""2420014""",135,115,250
"Ellington School District","=""0480011""",1317,1341,2658
"Elm City College Preparatory School District","=""2890013""",346,289,635
"Elm City Montessori School District","=""2910013""",29,41,70
"Enfield School District","=""0490011""",2539,2635,5174
"Essex School District","=""0500011""",214,240,454
"Explorations District","=""2720013""","*","*",88
"Fairfield School District","=""0510011""",5035,5178,10213
"Farmington School District","=""0520011""",1932,2088,4020
"Franklin School District","=""0530011""",79,91,170
"Glastonbury School District","=""0540011""",3123,3025,6148
"Granby School District","=""0560011""",962,1008,1970
"Great Oaks Charter School District","=""2940013""",67,60,127
"Greenwich School District","=""0570011""",4301,4512,8813
"Griswold School District","=""0580011""",932,965,1897
"Groton School District","=""0590011""",2205,2360,4565
"Guilford School District","=""0600011""",1649,1778,3427
"Hamden School District","=""0620011""",2703,2977,5680
"Hampton School District","=""0630011""",40,65,105
"Hartford School District","=""0640011""",10558,11395,21953
"Hartland School District","=""0650011""",96,107,203
"Hebron School District","=""0670011""",373,413,786
"Highville Charter School District","=""2860013""",208,195,403
"Integrated Day Charter School District","=""2640013""",163,168,331
"Interdistrict School for Arts and Comm District","=""2650013""",129,133,262
"Jumoke Academy District","=""2610013""",388,328,716
"Kent School District","=""0680011""",116,142,258
"Killingly School District","=""0690011""",1258,1318,2576
"Learn","=""2450014""",1153,1117,2270
"Lebanon School District","=""0710011""",550,555,1105
"Ledyard School District","=""0720011""",1255,1285,2540
"Lisbon School District","=""0730011""",193,210,403
"Litchfield School District","=""0740011""",467,516,983
"Madison School District","=""0760011""",1516,1655,3171
"Manchester School District","=""0770011""",3047,3220,6267
"Mansfield School District","=""0780011""",608,634,1242
"Marlborough School District","=""0790011""",277,323,600
"Meriden School District","=""0800011""",3873,4227,8100
"Middletown School District","=""0830011""",2328,2465,4793
"Milford School District","=""0840011""",3009,3269,6278
"Monroe School District","=""0850011""",1604,1695,3299
"Montville School District","=""0860011""",1142,1214,2356
"Naugatuck School District","=""0880011""",2012,2304,4316
"New Beginnings Inc., Family Academy District","=""2800013""",234,239,473
"New Britain School District","=""0890011""",4735,5366,10101
"New Canaan School District","=""0900011""",2047,2166,4213
"New Fairfield School District","=""0910011""",1257,1405,2662
"New Hartford School District","=""0920011""",267,239,506
"New Haven School District","=""0930011""",10728,10983,21711
"New London School District","=""0950011""",1540,1713,3253
"New Milford School District","=""0960011""",2074,2288,4362
"Newington School District","=""0940011""",2025,2102,4127
"Newtown School District","=""0970011""",2316,2451,4767
"Norfolk School District","=""0980011""",57,59,116
"North Branford School District","=""0990011""",965,1004,1969
"North Canaan School District","=""1000011""",138,142,280
"North Haven School District","=""1010011""",1624,1688,3312
"North Stonington School District","=""1020011""",352,389,741
"Norwalk School District","=""1030011""",5458,5853,11311
"Norwich Free Academy District","=""9010022""",1181,1136,2317
"Norwich School District","=""1040011""",1816,1948,3764
"Odyssey Community School District","=""2630013""",153,175,328
"Old Saybrook School District","=""1060011""",729,696,1425
"Orange School District","=""1070011""",580,600,1180
"Oxford School District","=""1080011""",989,990,1979
"Park City Prep Charter School District","=""2830013""",179,181,360
"Path Academy District","=""2930013""",60,72,132
"Plainfield School District","=""1090011""",1158,1193,2351
"Plainville School District","=""1100011""",1153,1259,2412
