"Student Counts by District and Gender"
"All Districts"
"2007-08"

"",,"Gender",,
"District","District Code","Female","Male","Total"
"Amistad Academy District","=""2790013""",263,284,547
"Andover School District","=""0010011""",151,196,347
"Ansonia School District","=""0020011""",1312,1431,2743
"Area Cooperative Educational Services","=""2440014""",872,1226,2098
"Ashford School District","=""0030011""",234,271,505
"Avon School District","=""0040011""",1787,1825,3612
"Barkhamsted School District","=""0050011""",158,200,358
"Berlin School District","=""0070011""",1528,1747,3275
"Bethany School District","=""0080011""",269,301,570
"Bethel School District","=""0090011""",1539,1618,3157
"Bloomfield School District","=""0110011""",1077,1163,2240
"Bolton School District","=""0120011""",445,431,876
"Bozrah School District","=""0130011""",146,123,269
"Branford School District","=""0140011""",1733,1781,3514
"Bridgeport Achievement First District","=""2850013""",46,39,85
"Bridgeport School District","=""0150011""",10126,10832,20958
"Bristol School District","=""0170011""",4312,4668,8980
"Brookfield School District","=""0180011""",1465,1490,2955
"Brooklyn School District","=""0190011""",486,507,993
"Canaan School District","=""0210011""",57,45,102
"Canterbury School District","=""0220011""",246,338,584
"Canton School District","=""0230011""",861,878,1739
"Capitol Region Education Council","=""2410014""",1381,1412,2793
"Chaplin School District","=""0240011""",100,110,210
"Cheshire School District","=""0250011""",2489,2655,5144
"Chester School District","=""0260011""",175,166,341
"Clinton School District","=""0270011""",1069,1044,2113
"Colchester School District","=""0280011""",1620,1642,3262
"Colebrook School District","=""0290011""",67,56,123
"Columbia School District","=""0300011""",297,296,593
"Common Ground High School District","=""2680013""",78,74,152
"Connecticut Technical High School System","=""9000016""",3624,6349,9973
"Cooperative Educational Services","=""2430014""",287,388,675
"Cornwall School District","=""0310011""",63,66,129
"Coventry School District","=""0320011""",969,1047,2016
"Cromwell School District","=""0330011""",988,1012,2000
"Danbury School District","=""0340011""",4992,5186,10178
"Darien School District","=""0350011""",2259,2403,4662
"Deep River School District","=""0360011""",192,197,389
"Department of Mental Health and Addiction Services","=""3370015""","*","*",11
"Derby School District","=""0370011""",705,767,1472
"East Granby School District","=""0400011""",449,465,914
"East Haddam School District","=""0410011""",704,729,1433
"East Hampton School District","=""0420011""",1028,1059,2087
"East Hartford School District","=""0430011""",3542,3932,7474
"East Haven School District","=""0440011""",1782,1917,3699
"East Lyme School District","=""0450011""",1651,1618,3269
"East Windsor School District","=""0470011""",716,778,1494
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","*","*",64
"Eastford School District","=""0390011""",90,99,189
"Easton School District","=""0460011""",562,618,1180
"Education Connection","=""2420014""",80,99,179
"Ellington School District","=""0480011""",1298,1314,2612
"Elm City College Preparatory School","=""2810013""",239,237,476
"Enfield School District","=""0490011""",3085,3288,6373
"Essex School District","=""0500011""",271,280,551
"Explorations District","=""2720013""",47,39,86
"Fairfield School District","=""0510011""",4854,4943,9797
"Farmington School District","=""0520011""",2013,2196,4209
"Franklin School District","=""0530011""",113,122,235
"Glastonbury School District","=""0540011""",3428,3454,6882
"Granby School District","=""0560011""",1102,1237,2339
"Greenwich School District","=""0570011""",4302,4712,9014
"Griswold School District","=""0580011""",1061,1085,2146
"Groton School District","=""0590011""",2608,2590,5198
"Guilford School District","=""0600011""",1896,1943,3839
"Hamden School District","=""0620011""",2974,3332,6306
"Hampton School District","=""0630011""",77,89,166
"Hartford School District","=""0640011""",10966,11713,22679
"Hartland School District","=""0650011""",109,127,236
"Hebron School District","=""0670011""",557,649,1206
"Highville Charter School District","=""2860013""",142,135,277
"Integrated Day Charter School District","=""2640013""",154,176,330
"Interdistrict School for Arts and Comm District","=""2650013""",87,94,181
"Jumoke Academy District","=""2610013""",200,169,369
"Kent School District","=""0680011""",131,126,257
"Killingly School District","=""0690011""",1336,1399,2735
"Learn","=""2450014""",526,551,1077
"Lebanon School District","=""0710011""",785,745,1530
"Ledyard School District","=""0720011""",1463,1442,2905
"Lisbon School District","=""0730011""",271,308,579
"Litchfield School District","=""0740011""",621,594,1215
"Madison School District","=""0760011""",1886,1910,3796
"Manchester School District","=""0770011""",3337,3576,6913
"Mansfield School District","=""0780011""",622,685,1307
"Marlborough School District","=""0790011""",345,318,663
"Meriden School District","=""0800011""",4301,4607,8908
"Middletown School District","=""0830011""",2471,2617,5088
"Milford School District","=""0840011""",3623,3777,7400
"Monroe School District","=""0850011""",2037,2189,4226
"Montville School District","=""0860011""",1399,1472,2871
"Naugatuck School District","=""0880011""",2323,2608,4931
"New Beginnings Inc., Family Academy District","=""2800013""",197,165,362
"New Britain School District","=""0890011""",5174,5545,10719
"New Canaan School District","=""0900011""",2035,2095,4130
"New Fairfield School District","=""0910011""",1452,1596,3048
"New Hartford School District","=""0920011""",309,309,618
"New Haven School District","=""0930011""",9832,10149,19981
"New London School District","=""0950011""",1336,1597,2933
"New Milford School District","=""0960011""",2451,2583,5034
"Newington School District","=""0940011""",2221,2345,4566
"Newtown School District","=""0970011""",2728,2935,5663
"Norfolk School District","=""0980011""",83,85,168
"North Branford School District","=""0990011""",1212,1222,2434
"North Canaan School District","=""1000011""",190,169,359
"North Haven School District","=""1010011""",1898,1999,3897
"North Stonington School District","=""1020011""",368,437,805
"Norwalk School District","=""1030011""",5129,5600,10729
"Norwich Free Academy District","=""9010022""",1285,1164,2449
"Norwich School District","=""1040011""",1965,2105,4070
"Odyssey Community School District","=""2630013""",100,77,177
"Old Saybrook School District","=""1060011""",813,808,1621
"Orange School District","=""1070011""",670,707,1377
"Oxford School District","=""1080011""",901,960,1861
"Park City Prep Charter School District","=""2830013""",106,100,206
"Plainfield School District","=""1090011""",1343,1441,2784
"Plainville School District","=""1100011""",1269,1360,2629
"Plymouth School District","=""1110011""",875,1038,1913
"Pomfret School District","=""1120011""",293,250,543
"Portland School District","=""1130011""",706,727,1433
"Preston School District","=""1140011""",254,255,509
"Putnam School District","=""1160011""",633,686,1319
"Redding School District","=""1170011""",651,658,1309
"Regional School District 01","=""2010012""",276,294,570
"Regional School District 04","=""2040012""",492,469,961
"Regional School District 05","=""2050012""",1230,1253,2483
"Regional School District 06","=""2060012""",565,565,1130
"Regional School District 07","=""2070012""",603,552,1155
"Regional School District 08","=""2080012""",798,878,1676
"Regional School District 09","=""2090012""",498,481,979
"Regional School District 10","=""2100012""",1366,1489,2855
"Regional School District 11","=""2110012""",147,152,299
"Regional School District 12","=""2120012""",502,560,1062
"Regional School District 13","=""2130012""",1066,1090,2156
"Regional School District 14","=""2140012""",1162,1053,2215
"Regional School District 15","=""2150012""",2182,2401,4583
"Regional School District 16","=""2160012""",1339,1352,2691
"Regional School District 17","=""2170012""",1245,1317,2562
"Regional School District 18","=""2180012""",743,795,1538
"Regional School District 19","=""2190012""",623,568,1191
"Ridgefield School District","=""1180011""",2694,2866,5560
"Rocky Hill School District","=""1190011""",1272,1350,2622
"Salem School District","=""1210011""",249,257,506
"Salisbury School District","=""1220011""",144,163,307
"Scotland School District","=""1230011""",92,98,190
"Seymour School District","=""1240011""",1312,1307,2619
"Sharon School District","=""1250011""",106,113,219
"Shelton School District","=""1260011""",2729,2941,5670
"Sherman School District","=""1270011""",226,233,459
"Side By Side Charter School District","=""2700013""",112,118,230
"Simsbury School District","=""1280011""",2335,2638,4973
"Somers School District","=""1290011""",837,897,1734
"South Windsor School District","=""1320011""",2367,2605,4972
"Southington School District","=""1310011""",3398,3549,6947
"Sprague School District","=""1330011""",182,174,356
"Stafford School District","=""1340011""",941,976,1917
"Stamford Academy District","=""2820013""",54,77,131
"Stamford School District","=""1350011""",7158,7824,14982
"Sterling School District","=""1360011""",220,284,504
"Stonington School District","=""1370011""",1229,1320,2549
"Stratford School District","=""1380011""",3669,3771,7440
"Suffield School District","=""1390011""",1303,1291,2594
"The Bridge Academy District","=""2690013""",139,121,260
"The Gilbert School District","=""9020022""",206,202,408
"Thomaston School District","=""1400011""",617,655,1272
"Thompson School District","=""1410011""",728,760,1488
"Tolland School District","=""1420011""",1521,1622,3143
"Torrington School District","=""1430011""",2280,2588,4868
"Trailblazers Academy District","=""2780013""",54,96,150
"Trumbull School District","=""1440011""",3439,3479,6918
"Unified School District #1","=""3360015""",59,1136,1195
"Unified School District #2","=""3470015""",96,279,375
"Union School District","=""1450011""","*","*",73
"Vernon School District","=""1460011""",1842,1880,3722
"Voluntown School District","=""1470011""",169,146,315
"Wallingford School District","=""1480011""",3469,3386,6855
"Waterbury School District","=""1510011""",9055,9346,18401
"Waterford School District","=""1520011""",1446,1508,2954
"Watertown School District","=""1530011""",1682,1730,3412
"West Hartford School District","=""1550011""",4906,5139,10045
"West Haven School District","=""1560011""",3181,3309,6490
"Westbrook School District","=""1540011""",478,507,985
"Weston School District","=""1570011""",1274,1317,2591
"Westport School District","=""1580011""",2770,2930,5700
"Wethersfield School District","=""1590011""",1857,1981,3838
"Willington School District","=""1600011""",294,307,601
"Wilton School District","=""1610011""",2109,2275,4384
"Winchester School District","=""1620011""",487,586,1073
"Windham School District","=""1630011""",1721,1954,3675
"Windsor Locks School District","=""1650011""",874,969,1843
"Windsor School District","=""1640011""",1938,2190,4128
"Wolcott School District","=""1660011""",1429,1499,2928
"Woodbridge School District","=""1670011""",369,419,788
"Woodstock Academy District","=""9030022""",576,577,1153
"Woodstock School District","=""1690011""",447,504,951
"Total","=""""",277658,297190,574848

