"Student Counts by District and Gender"
"All Districts"
"2017-18"

"",,"Gender",,
"District","District Code","Female","Male","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""",590,559,1149
"Amistad Academy District","=""2790013""",556,525,1081
"Andover School District","=""0010011""",96,108,204
"Ansonia School District","=""0020011""",1109,1195,2304
"Area Cooperative Educational Services","=""2440014""",805,1137,1942
"Ashford School District","=""0030011""",190,205,395
"Avon School District","=""0040011""",1601,1620,3221
"Barkhamsted School District","=""0050011""",124,124,248
"Berlin School District","=""0070011""",1335,1460,2795
"Bethany School District","=""0080011""",187,178,365
"Bethel School District","=""0090011""",1432,1627,3059
"Bloomfield School District","=""0110011""",1040,1109,2149
"Bolton School District","=""0120011""",418,394,812
"Booker T. Washington Academy District","=""2950013""",139,161,300
"Bozrah School District","=""0130011""",91,113,204
"Branford School District","=""0140011""",1430,1488,2918
"Brass City Charter School District","=""2900013""",139,115,254
"Bridgeport Achievement First District","=""2850013""",546,516,1062
"Bridgeport School District","=""0150011""",9935,10961,20896
"Bristol School District","=""0170011""",3897,4100,7997
"Brookfield School District","=""0180011""",1319,1320,2639
"Brooklyn School District","=""0190011""",439,459,898
"Canaan School District","=""0210011""",37,34,71
"Canterbury School District","=""0220011""",221,238,459
"Canton School District","=""0230011""",823,785,1608
"Capital Preparatory Harbor School Inc. District","=""2970013""",211,228,439
"Capitol Region Education Council","=""2410014""",4219,4345,8564
"Chaplin School District","=""0240011""",69,79,148
"Cheshire School District","=""0250011""",2085,2211,4296
"Chester School District","=""0260011""",97,108,205
"Clinton School District","=""0270011""",848,919,1767
"Colchester School District","=""0280011""","*",1229,2452
"Colebrook School District","=""0290011""",32,55,87
"Columbia School District","=""0300011""",201,236,437
"Common Ground High School District","=""2680013""",85,117,202
"Connecticut Technical Education and Career System","=""9000016""",4320,6409,10729
"Cooperative Educational Services","=""2430014""",346,488,834
"Cornwall School District","=""0310011""",32,41,73
"Coventry School District","=""0320011""",821,869,1690
"Cromwell School District","=""0330011""",969,1004,1973
"Danbury School District","=""0340011""",5601,5882,11483
"Darien School District","=""0350011""",2354,2464,4818
"Deep River School District","=""0360011""",134,142,276
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*"
"Derby School District","=""0370011""",640,730,1370
"East Granby School District","=""0400011""",413,435,848
"East Haddam School District","=""0410011""",486,537,1023
"East Hampton School District","=""0420011""",912,957,1869
"East Hartford School District","=""0430011""",3302,3566,6868
"East Haven School District","=""0440011""",1395,1477,2872
"East Lyme School District","=""0450011""",1329,1428,2757
"East Windsor School District","=""0470011""",489,593,1082
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",227,198,425
"Eastford School District","=""0390011""",66,85,151
"Easton School District","=""0460011""",451,455,906
"EdAdvance","=""2420014""",113,119,232
"Ellington School District","=""0480011""",1311,1377,2688
"Elm City College Preparatory School District","=""2890013""",394,358,752
"Elm City Montessori School District","=""2910013""",90,80,170
"Enfield School District","=""0490011""",2520,2686,5206
"Essex School District","=""0500011""",166,180,346
"Explorations District","=""2720013""",50,46,96
"Fairfield School District","=""0510011""",4859,5117,9976
"Farmington School District","=""0520011""",2002,2110,4112
"Franklin School District","=""0530011""","*",83,165
"Glastonbury School District","=""0540011""",2930,2989,5919
"Granby School District","=""0560011""",945,929,1874
"Great Oaks Charter School District","=""2940013""",209,191,400
"Greenwich School District","=""0570011""","*",4704,9042
"Griswold School District","=""0580011""",897,882,1779
"Groton School District","=""0590011""",2101,2280,4381
"Guilford School District","=""0600011""",1654,1734,3388
"Hamden School District","=""0620011""",2578,2842,5420
"Hampton School District","=""0630011""",42,51,93
"Hartford School District","=""0640011""",9745,10397,20142
"Hartland School District","=""0650011""","*",97,173
"Hebron School District","=""0670011""",341,361,702
"Highville Charter School District","=""2860013""",261,241,502
"Integrated Day Charter School District","=""2640013""",171,160,331
"Interdistrict School for Arts and Comm District","=""2650013""",146,125,271
"Jumoke Academy District","=""2610013""",398,355,753
"Kent School District","=""0680011""",103,122,225
"Killingly School District","=""0690011""",1286,"*",2523
"Learn","=""2450014""",1242,1242,2484
"Lebanon School District","=""0710011""",498,513,1011
"Ledyard School District","=""0720011""",1188,1251,2439
"Lisbon School District","=""0730011""",207,191,398
"Litchfield School District","=""0740011""",432,486,918
"Madison School District","=""0760011""","*",1495,2835
"Manchester School District","=""0770011""",2969,3259,6228
"Mansfield School District","=""0780011""",572,566,1138
"Marlborough School District","=""0790011""",229,262,491
"Meriden School District","=""0800011""",3780,4153,7933
"Middletown School District","=""0830011""",2240,2348,4588
"Milford School District","=""0840011""",2797,2995,5792
"Monroe School District","=""0850011""",1563,1586,3149
"Montville School District","=""0860011""","*",1116,2180
"Naugatuck School District","=""0880011""",2004,2240,4244
"New Beginnings Inc Family Academy District","=""2800013""",238,259,497
"New Britain School District","=""0890011""",4793,5271,10064
"New Canaan School District","=""0900011""",2057,2180,4237
"New Fairfield School District","=""0910011""",1118,1190,2308
"New Hartford School District","=""0920011""",226,230,456
"New Haven School District","=""0930011""",10606,10912,21518
"New London School District","=""0950011""",1759,1941,3700
"New Milford School District","=""0960011""",1966,2167,4133
"Newington School District","=""0940011""",1986,2092,4078
"Newtown School District","=""0970011""",2159,2248,4407
"Norfolk School District","=""0980011""",45,50,95
"North Branford School District","=""0990011""",886,898,1784
"North Canaan School District","=""1000011""",141,140,281
"North Haven School District","=""1010011""",1548,1611,3159
"North Stonington School District","=""1020011""",352,400,752
"Norwalk School District","=""1030011""",5555,6018,11573
"Norwich Free Academy District","=""9010022""",1199,1127,2326
"Norwich School District","=""1040011""","*",1902,3595
"Odyssey Community School District","=""2630013""",162,167,329
"Old Saybrook School District","=""1060011""",636,630,1266
"Orange School District","=""1070011""",550,625,1175
"Oxford School District","=""1080011""",944,911,1855
"Park City Prep Charter School District","=""2830013""",173,187,360
"Path Academy District","=""2930013""",85,89,174
"Plainfield School District","=""1090011""",1138,1129,2267
"Plainville School District","=""1100011""",1134,1242,2376
"Plymouth School District","=""1110011""",704,762,1466
"Pomfret School District","=""1120011""",175,213,388
"Portland School District","=""1130011""",638,683,1321
"Preston School District","=""1140011""",221,226,447
"Putnam School District","=""1160011""",593,592,1185
"Redding School District","=""1170011""",446,468,914
"Regional School District 01","=""2010012""","*",201,390
"Regional School District 04","=""2040012""",468,456,924
"Regional School District 05","=""2050012""",1111,1105,2216
"Regional School District 06","=""2060012""",474,445,919
"Regional School District 07","=""2070012""",557,525,1082
"Regional School District 08","=""2080012""",715,793,1508
"Regional School District 09","=""2090012""",432,477,909
"Regional School District 10","=""2100012""",1138,1210,2348
"Regional School District 11","=""2110012""",103,132,235
"Regional School District 12","=""2120012""",352,340,692
"Regional School District 13","=""2130012""",832,843,1675
"Regional School District 14","=""2140012""",891,825,1716
"Regional School District 15","=""2150012""",1722,1909,3631
"Regional School District 16","=""2160012""",1086,1111,2197
"Regional School District 17","=""2170012""",979,1087,2066
"Regional School District 18","=""2180012""",643,635,1278
"Regional School District 19","=""2190012""",621,587,1208
"Ridgefield School District","=""1180011""",2425,2504,4929
"Rocky Hill School District","=""1190011""",1365,1344,2709
"Salem School District","=""1210011""",211,190,401
"Salisbury School District","=""1220011""",149,149,298
"Scotland School District","=""1230011""",63,56,119
"Seymour School District","=""1240011""",1078,1098,2176
"Sharon School District","=""1250011""",71,68,139
"Shelton School District","=""1260011""",2275,2445,4720
"Sherman School District","=""1270011""",153,149,302
"Side By Side Charter School District","=""2700013""",122,113,235
"Simsbury School District","=""1280011""",1979,2119,4098
"Somers School District","=""1290011""",693,746,1439
"South Windsor School District","=""1320011""",2034,2225,4259
"Southington School District","=""1310011""",3222,3278,6500
"Sprague School District","=""1330011""",152,187,339
"Stafford School District","=""1340011""",745,782,1527
"Stamford Academy District","=""2820013""",71,88,159
"Stamford Charter School for Excellence District","=""2960013""",142,131,273
"Stamford School District","=""1350011""",7772,8159,15931
"Sterling School District","=""1360011""",170,217,387
"Stonington School District","=""1370011""",1009,1088,2097
"Stratford School District","=""1380011""",3321,3519,6840
"Suffield School District","=""1390011""",1124,1094,2218
"The Bridge Academy District","=""2690013""",149,130,279
"The Gilbert School District","=""9020022""",254,307,561
"Thomaston School District","=""1400011""",447,430,877
"Thompson School District","=""1410011""",469,551,1020
"Tolland School District","=""1420011""",1202,1265,2467
"Torrington School District","=""1430011""",1956,2152,4108
"Trailblazers Academy District","=""2780013""",49,70,119
"Trumbull School District","=""1440011""",3305,3435,6740
"Unified School District #1","=""3360015""","*",172,179
"Unified School District #2","=""3470015""",53,104,157
"Union School District","=""1450011""",30,"*","*"
"Vernon School District","=""1460011""",1524,1584,3108
"Voluntown School District","=""1470011""",126,156,282
"Wallingford School District","=""1480011""",2898,2965,5863
"Waterbury School District","=""1510011""",9150,9857,19007
"Waterford School District","=""1520011""",1268,"*",2535
"Watertown School District","=""1530011""",1316,1469,2785
"West Hartford School District","=""1550011""",4788,4950,9738
"West Haven School District","=""1560011""",2789,3072,5861
"Westbrook School District","=""1540011""",371,360,731
"Weston School District","=""1570011""",1124,1219,2343
"Westport School District","=""1580011""",2718,2880,5598
"Wethersfield School District","=""1590011""","*",1806,3609
"Willington School District","=""1600011""",200,240,440
"Wilton School District","=""1610011""",2014,2036,4050
"Winchester School District","=""1620011""",237,317,554
"Windham School District","=""1630011""",1572,1777,3349
"Windsor Locks School District","=""1650011""",784,769,1553
"Windsor School District","=""1640011""",1590,1684,3274
"Wolcott School District","=""1660011""",1081,1182,2263
"Woodbridge School District","=""1670011""",394,442,836
"Woodstock Academy District","=""9030022""",561,526,1087
"Woodstock School District","=""1690011""",431,426,857
"Total","=""""",259018,275987,535025

