"Student Counts by District and Gender"
"All Districts"
"2018-19"

"",,"Gender",,
"District","District Code","Female","Male","Total"
"Achievement First Bridgeport Academy District","=""2850013""",581,512,1093
"Achievement First Hartford Academy District","=""2880013""",593,519,1112
"Amistad Academy District","=""2790013""",574,509,1083
"Andover School District","=""0010011""",90,101,191
"Ansonia School District","=""0020011""",1090,1234,2324
"Area Cooperative Educational Services","=""2440014""",803,1071,1874
"Ashford School District","=""0030011""",199,211,410
"Avon School District","=""0040011""",1573,1579,3152
"Barkhamsted School District","=""0050011""",117,110,227
"Berlin School District","=""0070011""",1340,1463,2803
"Bethany School District","=""0080011""",192,174,366
"Bethel School District","=""0090011""",1456,1656,3112
"Bloomfield School District","=""0110011""",1087,1097,2184
"Bolton School District","=""0120011""",394,"*",786
"Booker T. Washington Academy District","=""2950013""",174,186,360
"Bozrah School District","=""0130011""",90,113,203
"Branford School District","=""0140011""",1397,1463,2860
"Brass City Charter School District","=""2900013""",153,134,287
"Bridgeport School District","=""0150011""",9824,10748,20572
"Bristol School District","=""0170011""","*",4087,7956
"Brookfield School District","=""0180011""",1301,1329,2630
"Brooklyn School District","=""0190011""",458,464,922
"Canaan School District","=""0210011""",30,33,63
"Canterbury School District","=""0220011""",223,248,471
"Canton School District","=""0230011""",780,780,1560
"Capital Preparatory Harbor School District","=""2970013""",311,323,634
"Capitol Region Education Council","=""2410014""",4361,4311,8672
"Chaplin School District","=""0240011""",78,78,156
"Cheshire School District","=""0250011""",2101,2183,4284
"Chester School District","=""0260011""",87,107,194
"Clinton School District","=""0270011""",846,898,1744
"Colchester School District","=""0280011""","*",1171,2321
"Colebrook School District","=""0290011""",30,54,84
"Columbia School District","=""0300011""",200,237,437
"Common Ground High School District","=""2680013""",80,136,216
"Connecticut Technical Education and Career System","=""9000016""","*",6336,10647
"Cooperative Educational Services","=""2430014""",339,500,839
"Cornwall School District","=""0310011""",38,53,91
"Coventry School District","=""0320011""",818,831,1649
"Cromwell School District","=""0330011""",937,1009,1946
"Danbury School District","=""0340011""","*",5948,11531
"Darien School District","=""0350011""","*",2457,4769
"Deep River School District","=""0360011""",117,125,242
"Department of Mental Health and Addiction Services","=""3370015""",0,"*","*"
"Derby School District","=""0370011""",610,698,1308
"East Granby School District","=""0400011""",415,440,855
"East Haddam School District","=""0410011""",473,536,1009
"East Hampton School District","=""0420011""",922,947,1869
"East Hartford School District","=""0430011""",3224,3612,6836
"East Haven School District","=""0440011""","*",1474,2896
"East Lyme School District","=""0450011""",1324,1375,2699
"East Windsor School District","=""0470011""",523,584,1107
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",237,192,429
"Eastford School District","=""0390011""",80,86,166
"Easton School District","=""0460011""",441,460,901
"EdAdvance","=""2420014""",122,156,278
"Ellington School District","=""0480011""",1330,1405,2735
"Elm City College Preparatory School District","=""2890013""",385,371,756
"Elm City Montessori School District","=""2910013""",104,95,199
"Enfield School District","=""0490011""",2447,2653,5100
"Essex School District","=""0500011""",156,179,335
"Explorations District","=""2720013""",53,35,88
"Fairfield School District","=""0510011""",4781,5069,9850
"Farmington School District","=""0520011""",2004,2090,4094
"Franklin School District","=""0530011""",71,83,154
"Glastonbury School District","=""0540011""","*",2985,5898
"Granby School District","=""0560011""",941,936,1877
"Great Oaks Charter School District","=""2940013""",249,216,465
"Greenwich School District","=""0570011""","*",4706,9099
"Griswold School District","=""0580011""",872,904,1776
"Groton School District","=""0590011""","*",2238,4324
"Guilford School District","=""0600011""",1603,1708,3311
"Hamden School District","=""0620011""",2569,2843,5412
"Hampton School District","=""0630011""",42,51,93
"Hartford School District","=""0640011""","*",10251,19767
"Hartland School District","=""0650011""",69,93,162
"Hebron School District","=""0670011""",327,337,664
"Highville Charter School District","=""2860013""",275,227,502
"Integrated Day Charter School District","=""2640013""",166,171,337
"Interdistrict School for Arts and Comm District","=""2650013""",145,133,278
"Jumoke Academy District","=""2610013""",381,336,717
"Kent School District","=""0680011""",102,111,213
"Killingly School District","=""0690011""",1266,"*",2501
"Learn","=""2450014""",1263,1246,2509
"Lebanon School District","=""0710011""",479,526,1005
"Ledyard School District","=""0720011""",1167,1264,2431
"Lisbon School District","=""0730011""",203,205,408
"Litchfield School District","=""0740011""",430,465,895
"Madison School District","=""0760011""","*",1451,2737
"Manchester School District","=""0770011""",2957,3294,6251
"Mansfield School District","=""0780011""",582,563,1145
"Marlborough School District","=""0790011""",218,231,449
"Meriden School District","=""0800011""","*",4152,7973
"Middletown School District","=""0830011""",2304,2336,4640
"Milford School District","=""0840011""",2745,2890,5635
"Monroe School District","=""0850011""",1568,1550,3118
"Montville School District","=""0860011""","*",1061,2077
"Naugatuck School District","=""0880011""",2069,2251,4320
"New Beginnings Inc Family Academy District","=""2800013""",236,246,482
"New Britain School District","=""0890011""",4860,5319,10179
"New Canaan School District","=""0900011""",2037,2136,4173
"New Fairfield School District","=""0910011""",1095,1151,2246
"New Hartford School District","=""0920011""",216,230,446
"New Haven School District","=""0930011""",10492,10772,21264
"New London School District","=""0950011""",1693,1862,3555
"New Milford School District","=""0960011""","*",2088,3991
"Newington School District","=""0940011""",1991,2060,4051
"Newtown School District","=""0970011""","*",2201,4306
"Norfolk School District","=""0980011""",41,55,96
"North Branford School District","=""0990011""",853,888,1741
"North Canaan School District","=""1000011""",128,127,255
"North Haven School District","=""1010011""",1542,1623,3165
"North Stonington School District","=""1020011""",337,390,727
"Norwalk School District","=""1030011""","*",5953,11501
"Norwich Free Academy District","=""9010022""",1157,1099,2256
"Norwich School District","=""1040011""","*",1879,3621
"Odyssey Community School District","=""2630013""",152,177,329
"Old Saybrook School District","=""1060011""",614,605,1219
"Orange School District","=""1070011""",563,618,1181
"Oxford School District","=""1080011""",902,897,1799
"Park City Prep Charter School District","=""2830013""",167,193,360
"Plainfield School District","=""1090011""",1094,1111,2205
"Plainville School District","=""1100011""",1133,1220,2353
"Plymouth School District","=""1110011""",675,754,1429
"Pomfret School District","=""1120011""",172,209,381
"Portland School District","=""1130011""","*",684,1323
"Preston School District","=""1140011""",216,230,446
"Putnam School District","=""1160011""",598,617,1215
"Redding School District","=""1170011""",417,441,858
