"Student Counts by District and Gender"
"All Districts"
"2012-13"

"",,"Gender",,
"District","District Code","Female","Male","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""",385,439,824
"Amistad Academy District","=""2790013""",442,462,904
"Andover School District","=""0010011""",140,175,315
"Ansonia School District","=""0020011""",1163,1262,2425
"Area Cooperative Educational Services","=""2440014""",804,1128,1932
"Ashford School District","=""0030011""",211,229,440
"Avon School District","=""0040011""",1705,1716,3421
"Barkhamsted School District","=""0050011""",151,198,349
"Berlin School District","=""0070011""",1391,1594,2985
"Bethany School District","=""0080011""",223,250,473
"Bethel School District","=""0090011""",1438,1549,2987
"Bloomfield School District","=""0110011""",1033,1086,2119
"Bolton School District","=""0120011""",445,452,897
"Bozrah School District","=""0130011""",125,118,243
"Branford School District","=""0140011""",1615,1667,3282
"Bridgeport Achievement First District","=""2850013""",347,355,702
"Bridgeport School District","=""0150011""",9767,10571,20338
"Bristol School District","=""0170011""",4009,4356,8365
"Brookfield School District","=""0180011""",1386,1407,2793
"Brooklyn School District","=""0190011""",450,498,948
"Canaan School District","=""0210011""",39,36,75
"Canterbury School District","=""0220011""",224,275,499
"Canton School District","=""0230011""",878,880,1758
"Capitol Region Education Council","=""2410014""",3066,3192,6258
"Chaplin School District","=""0240011""",91,94,185
"Cheshire School District","=""0250011""",2302,2372,4674
"Chester School District","=""0260011""",135,117,252
"Clinton School District","=""0270011""",962,1027,1989
"Colchester School District","=""0280011""",1431,1462,2893
"Colebrook School District","=""0290011""",51,53,104
"Columbia School District","=""0300011""",266,245,511
"Common Ground High School District","=""2680013""",80,89,169
"Connecticut Technical High School System","=""9000016""",4065,6586,10651
"Cooperative Educational Services","=""2430014""",339,499,838
"Cornwall School District","=""0310011""",46,57,103
"Coventry School District","=""0320011""",883,852,1735
"Cromwell School District","=""0330011""",951,1034,1985
"Danbury School District","=""0340011""",5336,5614,10950
"Darien School District","=""0350011""",2358,2522,4880
"Deep River School District","=""0360011""",176,174,350
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*"
"Derby School District","=""0370011""",744,754,1498
"East Granby School District","=""0400011""",403,462,865
"East Haddam School District","=""0410011""",624,633,1257
"East Hampton School District","=""0420011""",942,956,1898
"East Hartford School District","=""0430011""",3362,3691,7053
"East Haven School District","=""0440011""",1557,1684,3241
"East Lyme School District","=""0450011""",1465,1474,2939
"East Windsor School District","=""0470011""",635,641,1276
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",169,161,330
"Eastford School District","=""0390011""",82,87,169
"Easton School District","=""0460011""",466,553,1019
"Education Connection","=""2420014""",121,128,249
"Ellington School District","=""0480011""",1344,1377,2721
"Elm City College Preparatory School District","=""2890013""",322,282,604
"Enfield School District","=""0490011""",2665,2815,5480
"Essex School District","=""0500011""",246,284,530
"Explorations District","=""2720013""","*","*",73
"Fairfield School District","=""0510011""",5039,5288,10327
"Farmington School District","=""0520011""",1935,2136,4071
"Franklin School District","=""0530011""",99,105,204
"Glastonbury School District","=""0540011""",3341,3265,6606
"Granby School District","=""0560011""",1030,1082,2112
"Greenwich School District","=""0570011""",4306,4565,8871
"Griswold School District","=""0580011""",969,1006,1975
"Groton School District","=""0590011""",2366,2445,4811
"Guilford School District","=""0600011""",1754,1843,3597
"Hamden School District","=""0620011""",2785,3056,5841
"Hampton School District","=""0630011""",42,74,116
"Hartford School District","=""0640011""",10555,11410,21965
"Hartland School District","=""0650011""",95,120,215
"Hebron School District","=""0670011""",447,491,938
"Highville Charter School District","=""2860013""",176,165,341
"Integrated Day Charter School District","=""2640013""",161,169,330
"Interdistrict School for Arts and Comm District","=""2650013""",109,82,191
"Jumoke Academy District","=""2610013""",331,258,589
"Kent School District","=""0680011""",125,146,271
"Killingly School District","=""0690011""",1337,1379,2716
"Learn","=""2450014""",879,849,1728
"Lebanon School District","=""0710011""",626,612,1238
"Ledyard School District","=""0720011""",1275,1341,2616
"Lisbon School District","=""0730011""",204,244,448
"Litchfield School District","=""0740011""",513,527,1040
"Madison School District","=""0760011""",1624,1766,3390
"Manchester School District","=""0770011""",2975,3300,6275
"Mansfield School District","=""0780011""",642,679,1321
"Marlborough School District","=""0790011""",303,336,639
"Meriden School District","=""0800011""",3929,4331,8260
"Middletown School District","=""0830011""",2375,2573,4948
"Milford School District","=""0840011""",3209,3461,6670
"Monroe School District","=""0850011""",1708,1780,3488
"Montville School District","=""0860011""",1196,1259,2455
"Naugatuck School District","=""0880011""",2116,2374,4490
"New Beginnings Inc., Family Academy District","=""2800013""",197,202,399
"New Britain School District","=""0890011""",4890,5432,10322
"New Canaan School District","=""0900011""",2076,2147,4223
"New Fairfield School District","=""0910011""",1320,1485,2805
"New Hartford School District","=""0920011""",291,276,567
"New Haven School District","=""0930011""",10512,10734,21246
