"Student Counts by District and Gender"
"All Districts"
"2015-16"

"",,"Gender",,
"District","District Code","Female","Male","Total"
"Achievement First Hartford Academy Inc. District","=""2880013""",543,520,1063
"Amistad Academy District","=""2790013""",536,500,1036
"Andover School District","=""0010011""",118,132,250
"Ansonia School District","=""0020011""",1122,1260,2382
"Area Cooperative Educational Services","=""2440014""",809,1139,1948
"Ashford School District","=""0030011""",194,206,400
"Avon School District","=""0040011""",1620,1665,3285
"Barkhamsted School District","=""0050011""",143,143,286
"Berlin School District","=""0070011""",1349,1530,2879
"Bethany School District","=""0080011""",191,192,383
"Bethel School District","=""0090011""",1391,1580,2971
"Bloomfield School District","=""0110011""",1004,1074,2078
"Bolton School District","=""0120011""",416,404,820
"Booker T. Washington Academy District","=""2950013""",81,99,180
"Bozrah School District","=""0130011""",97,105,202
"Branford School District","=""0140011""",1467,1599,3066
"Brass City Charter School District","=""2900013""",110,76,186
"Bridgeport Achievement First District","=""2850013""",525,491,1016
"Bridgeport School District","=""0150011""",10044,11147,21191
"Bristol School District","=""0170011""",3964,4206,8170
"Brookfield School District","=""0180011""",1318,1374,2692
"Brooklyn School District","=""0190011""",441,467,908
"Canaan School District","=""0210011""","*",38,"*"
"Canterbury School District","=""0220011""",214,280,494
"Canton School District","=""0230011""",832,801,1633
"Capital Preparatory Harbor School Inc. District","=""2970013""",103,146,249
"Capitol Region Education Council","=""2410014""",4022,4332,8354
"Chaplin School District","=""0240011""",79,97,176
"Cheshire School District","=""0250011""",2140,2273,4413
"Chester School District","=""0260011""",122,89,211
"Clinton School District","=""0270011""",900,922,1822
"Colchester School District","=""0280011""",1265,1298,2563
"Colebrook School District","=""0290011""",37,47,84
"Columbia School District","=""0300011""",217,237,454
"Common Ground High School District","=""2680013""",79,107,186
"Connecticut Technical High School System","=""9000016""",4330,6380,10710
"Cooperative Educational Services","=""2430014""",356,513,869
"Cornwall School District","=""0310011""",33,59,92
"Coventry School District","=""0320011""",805,829,1634
"Cromwell School District","=""0330011""",959,1038,1997
"Danbury School District","=""0340011""",5406,5751,11157
"Darien School District","=""0350011""",2365,2519,4884
"Deep River School District","=""0360011""",144,162,306
"Department of Mental Health and Addiction Services","=""3370015""","*","*","*"
"Derby School District","=""0370011""",662,741,1403
"East Granby School District","=""0400011""",433,445,878
"East Haddam School District","=""0410011""",531,542,1073
"East Hampton School District","=""0420011""",938,955,1893
"East Hartford School District","=""0430011""",3298,3584,6882
"East Haven School District","=""0440011""",1493,1558,3051
"East Lyme School District","=""0450011""",1357,1435,2792
"East Windsor School District","=""0470011""",521,584,1105
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",231,194,425
"Eastford School District","=""0390011""",64,70,134
"Easton School District","=""0460011""",439,483,922
"Education Connection","=""2420014""",128,99,227
"Ellington School District","=""0480011""",1301,1332,2633
"Elm City College Preparatory School District","=""2890013""",384,319,703
"Elm City Montessori School District","=""2910013""",55,58,113
"Enfield School District","=""0490011""",2533,2656,5189
"Essex School District","=""0500011""",199,221,420
"Explorations District","=""2720013""","*","*",92
"Fairfield School District","=""0510011""",4946,5145,10091
"Farmington School District","=""0520011""",1982,2114,4096
"Franklin School District","=""0530011""",76,94,170
"Glastonbury School District","=""0540011""",3084,2985,6069
"Granby School District","=""0560011""",959,1002,1961
"Great Oaks Charter School District","=""2940013""",112,114,226
"Greenwich School District","=""0570011""",4265,4560,8825
"Griswold School District","=""0580011""",935,956,1891
"Groton School District","=""0590011""",2177,2342,4519
"Guilford School District","=""0600011""",1641,1778,3419
"Hamden School District","=""0620011""",2617,2930,5547
"Hampton School District","=""0630011""",40,61,101
"Hartford School District","=""0640011""",10337,11126,21463
"Hartland School District","=""0650011""",82,106,188
"Hebron School District","=""0670011""",341,391,732
"Highville Charter School District","=""2860013""",240,222,462
"Integrated Day Charter School District","=""2640013""",163,168,331
"Interdistrict School for Arts and Comm District","=""2650013""",136,135,271
"Jumoke Academy District","=""2610013""",397,337,734
"Kent School District","=""0680011""",108,129,237
"Killingly School District","=""0690011""",1271,1325,2596
"Learn","=""2450014""",1233,1140,2373
"Lebanon School District","=""0710011""",520,534,1054
"Ledyard School District","=""0720011""",1204,1241,2445
"Lisbon School District","=""0730011""",198,194,392
"Litchfield School District","=""0740011""",453,518,971
"Madison School District","=""0760011""",1435,1592,3027
"Manchester School District","=""0770011""",3056,3187,6243
"Mansfield School District","=""0780011""",603,648,1251
"Marlborough School District","=""0790011""",255,301,556
"Meriden School District","=""0800011""",3861,4132,7993
"Middletown School District","=""0830011""",2275,2426,4701
"Milford School District","=""0840011""",2928,3224,6152
"Monroe School District","=""0850011""",1567,1613,3180
"Montville School District","=""0860011""",1093,1163,2256
"Naugatuck School District","=""0880011""",1961,2285,4246
"New Beginnings Inc., Family Academy District","=""2800013""",248,251,499
"New Britain School District","=""0890011""",4734,5337,10071
"New Canaan School District","=""0900011""",2075,2152,4227
"New Fairfield School District","=""0910011""",1176,1321,2497
"New Hartford School District","=""0920011""",243,227,470
"New Haven School District","=""0930011""",10732,10993,21725
"New London School District","=""0950011""",1602,1779,3381
"New Milford School District","=""0960011""",2015,2230,4245
"Newington School District","=""0940011""",2013,2047,4060
"Newtown School District","=""0970011""",2209,2379,4588
"Norfolk School District","=""0980011""",61,55,116
"North Branford School District","=""0990011""",931,958,1889
"North Canaan School District","=""1000011""",129,131,260
"North Haven School District","=""1010011""",1571,1617,3188
"North Stonington School District","=""1020011""",343,385,728
"Norwalk School District","=""1030011""",5510,5899,11409
"Norwich Free Academy District","=""9010022""",1181,1101,2282
"Norwich School District","=""1040011""",1778,1927,3705
"Odyssey Community School District","=""2630013""",160,168,328
"Old Saybrook School District","=""1060011""",670,676,1346
"Orange School District","=""1070011""",552,627,1179
"Oxford School District","=""1080011""",982,992,1974
"Park City Prep Charter School District","=""2830013""",182,178,360
"Path Academy District","=""2930013""",67,76,143
"Plainfield School District","=""1090011""",1146,1184,2330
"Plainville School District","=""1100011""",1157,1252,2409
"Plymouth School District","=""1110011""",715,807,1522
"Pomfret School District","=""1120011""",182,220,402
"Portland School District","=""1130011""",666,694,1360
"Preston School District","=""1140011""",227,218,445
"Putnam School District","=""1160011""",592,603,1195
"Redding School District","=""1170011""",451,503,954
"Regional School District 01","=""2010012""",227,219,446
"Regional School District 04","=""2040012""",470,458,928
"Regional School District 05","=""2050012""",1113,1157,2270
"Regional School District 06","=""2060012""",515,471,986
"Regional School District 07","=""2070012""",544,556,1100
"Regional School District 08","=""2080012""",782,819,1601
"Regional School District 09","=""2090012""",487,541,1028
"Regional School District 10","=""2100012""",1149,1267,2416
"Regional School District 11","=""2110012""",122,131,253
"Regional School District 12","=""2120012""",364,368,732
"Regional School District 13","=""2130012""",865,886,1751
"Regional School District 14","=""2140012""",935,833,1768
"Regional School District 15","=""2150012""",1797,1996,3793
"Regional School District 16","=""2160012""",1138,1132,2270
"Regional School District 17","=""2170012""",1012,1121,2133
"Regional School District 18","=""2180012""",667,672,1339
"Regional School District 19","=""2190012""",644,569,1213
"Ridgefield School District","=""1180011""",2494,2558,5052
"Rocky Hill School District","=""1190011""",1297,1313,2610
"Salem School District","=""1210011""",178,206,384
"Salisbury School District","=""1220011""",144,130,274
"Scotland School District","=""1230011""",70,49,119
"Seymour School District","=""1240011""",1094,1121,2215
"Sharon School District","=""1250011""",79,81,160
"Shelton School District","=""1260011""",2382,2543,4925
"Sherman School District","=""1270011""",164,173,337
"Side By Side Charter School District","=""2700013""",118,118,236
"Simsbury School District","=""1280011""",2023,2167,4190
"Somers School District","=""1290011""",695,740,1435
"South Windsor School District","=""1320011""",2033,2123,4156
"Southington School District","=""1310011""",3230,3353,6583
"Sprague School District","=""1330011""",158,204,362
"Stafford School District","=""1340011""",755,789,1544
"Stamford Academy District","=""2820013""",69,81,150
"Stamford Charter School for Excellence District","=""2960013""",74,90,164
"Stamford School District","=""1350011""",7756,8190,15946
"Sterling School District","=""1360011""",200,254,454
"Stonington School District","=""1370011""",1042,1132,2174
"Stratford School District","=""1380011""",3390,3511,6901
"Suffield School District","=""1390011""",1182,1176,2358
"The Bridge Academy District","=""2690013""",151,128,279
"The Gilbert School District","=""9020022""",232,321,553
"Thomaston School District","=""1400011""",454,446,900
"Thompson School District","=""1410011""",462,545,1007
"Tolland School District","=""1420011""",1294,1306,2600
"Torrington School District","=""1430011""",1953,2313,4266
"Trailblazers Academy District","=""2780013""",58,67,125
"Trumbull School District","=""1440011""",3361,3326,6687
"Unified School District #1","=""3360015""","*","*",390
"Unified School District #2","=""3470015""",56,117,173
"Union School District","=""1450011""",42,38,80
"Vernon School District","=""1460011""",1580,1624,3204
"Voluntown School District","=""1470011""",138,165,303
"Wallingford School District","=""1480011""",3012,3008,6020
"Waterbury School District","=""1510011""",9123,9739,18862
"Waterford School District","=""1520011""",1253,1275,2528
"Watertown School District","=""1530011""",1311,1517,2828
"West Hartford School District","=""1550011""",4770,4987,9757
"West Haven School District","=""1560011""",2838,3004,5842
"Westbrook School District","=""1540011""",382,400,782
"Weston School District","=""1570011""",1142,1266,2408
"Westport School District","=""1580011""",2783,2931,5714
"Wethersfield School District","=""1590011""",1815,1836,3651
"Willington School District","=""1600011""",201,234,435
"Wilton School District","=""1610011""",2066,2107,4173
"Winchester School District","=""1620011""",263,326,589
"Windham School District","=""1630011""",1544,1752,3296
"Windsor Locks School District","=""1650011""",803,835,1638
"Windsor School District","=""1640011""",1528,1686,3214
"Wolcott School District","=""1660011""",1117,1229,2346
"Woodbridge School District","=""1670011""",387,388,775
"Woodstock Academy District","=""9030022""",536,486,1022
"Woodstock School District","=""1690011""",438,424,862
"Total","=""""",261970,279845,541815

